baseline_1[6.464698995080325, 0.18891089103599587]
baseline_2[6.5115990051420605, 0.17821782185889706]
baseline_3[5.9435791761568275, 0.1924752475129496]
baseline_4[5.950148356598203, 0.19841584161956713]
baseline_5[6.4106023042508875, 0.173465346528752]
baseline_6[6.948551115470358, 0.16910891088518765]
baseline_7[5.929308920189886, 0.21346534660547087]
baseline_8[6.195560477228448, 0.18257425746115127]
baseline_9[6.558584750524842, 0.17663366331322358]
baseline_10[5.979533936151183, 0.17702970304701587]
